Age,Age_sq,GP,MP,PTS_per_GP,TRB_per_GP,AST_per_GP,STL_per_GP,BLK_per_GP,TRB_per_min,AST_per_min,STL_per_min,BLK_per_min,FG%,3P%,FT%,USG%,BPM,VORP,AST_to_TOV,STL_BLK_sum,Toxic_Contract,Position_Clean,Experience_Category
24,3.7522128221428903,80,18.1,0.06999999999999999,0.01625,0.028749999999999998,0.0075,0.0025,0.0718232044198895,0.12707182320441987,0.03314917127071823,0.011049723756906077,0.454,0.32,0.806,14.1,-2.8,-0.3,2.8749999999999996,0.8,0,PG,Prime
21,24.37459044452051,34,20.6,0.23823529411764705,0.13823529411764707,0.055882352941176466,0.01764705882352941,0.03823529411764706,0.22815533980582522,0.09223300970873785,0.029126213592233007,0.06310679611650485,0.434,0.365,0.629,18.3,0.0,0.3,1.4615384615384615,1.9,0,PF,Rookie
22,15.500464570394637,47,13.0,0.10638297872340426,0.05957446808510638,0.014893617021276595,0.00851063829787234,0.00851063829787234,0.21538461538461537,0.05384615384615384,0.03076923076923077,0.03076923076923077,0.551,0.103,0.699,15.7,-1.2,0.1,1.0,0.8,0,C,Rookie
24,3.7522128221428903,77,22.3,0.17532467532467533,0.03376623376623377,0.050649350649350645,0.007792207792207792,0.003896103896103896,0.11659192825112108,0.1748878923766816,0.026905829596412554,0.013452914798206277,0.448,0.359,0.889,25.8,0.3,1.0,2.0526315789473686,0.8999999999999999,0,SG,Prime
25,0.8780869480170171,78,20.3,0.0846153846153846,0.06923076923076923,0.016666666666666666,0.00641025641025641,0.016666666666666666,0.2660098522167488,0.06403940886699508,0.02463054187192118,0.06403940886699508,0.641,0.389,0.664,12.5,0.1,0.8,1.4444444444444444,1.8,0,C,Prime
22,15.500464570394637,62,19.1,0.11935483870967742,0.06129032258064516,0.03387096774193549,0.008064516129032258,0.0032258064516129032,0.19895287958115182,0.10994764397905758,0.026178010471204185,0.010471204188481676,0.56,0.391,0.72,16.1,-1.8,0.1,1.909090909090909,0.7,0,PF,Rookie
24,3.7522128221428903,28,8.7,0.23214285714285715,0.08214285714285714,0.02142857142857143,0.0035714285714285718,0.0035714285714285718,0.26436781609195403,0.06896551724137931,0.01149425287356322,0.01149425287356322,0.543,0.359,0.788,26.9,-0.4,0.1,1.2,0.2,0,C,Prime
19,48.122842192772254,56,26.0,0.19642857142857142,0.09464285714285714,0.044642857142857144,0.014285714285714287,0.0071428571428571435,0.20384615384615384,0.09615384615384616,0.03076923076923077,0.015384615384615385,0.453,0.246,0.698,19.8,-4.0,-0.7,1.4705882352941178,1.2000000000000002,0,PF,Rookie
31,25.633331703261778,51,22.0,0.25098039215686274,0.060784313725490195,0.04313725490196079,0.013725490196078431,0.00392156862745098,0.1409090909090909,0.1,0.031818181818181815,0.009090909090909092,0.436,0.414,0.814,22.8,1.2,0.9,2.0,0.8999999999999999,0,SG,Veteran
28,4.255709325639398,20,8.6,0.065,0.04,0.06,0.015,0.0,0.0930232558139535,0.13953488372093023,0.03488372093023256,0.0,0.243,0.348,0.819,11.1,-8.8,-0.3,2.9999999999999996,0.3,0,PG,Prime
26,0.003961073891143875,68,35.0,0.35294117647058826,0.051470588235294115,0.0911764705882353,0.013235294117647059,0.0029411764705882353,0.1,0.17714285714285716,0.025714285714285714,0.005714285714285714,0.491,0.416,0.829,27.2,3.9,3.5,2.9523809523809526,1.1,0,PG,Prime
23,8.626338696268764,40,24.8,0.2425,0.05500000000000001,0.034999999999999996,0.025,0.01,0.08870967741935484,0.0564516129032258,0.04032258064516129,0.016129032258064516,0.446,0.313,0.853,17.1,-3.4,-0.4,1.1666666666666667,1.4,0,SF,Prime
23,8.626338696268764,63,15.1,0.10476190476190475,0.04444444444444444,0.007936507936507936,0.006349206349206349,0.0031746031746031746,0.18543046357615894,0.033112582781456956,0.026490066225165566,0.013245033112582783,0.458,0.349,0.767,18.4,-3.5,-0.4,0.625,0.6000000000000001,0,SF,Prime
22,15.500464570394637,36,10.7,0.07777777777777778,0.04722222222222222,0.016666666666666666,0.011111111111111112,0.005555555555555556,0.15887850467289721,0.056074766355140186,0.03738317757009346,0.01869158878504673,0.387,0.309,0.733,12.7,-3.9,-0.2,1.4999999999999998,0.6000000000000001,0,SF,Rookie
20,35.24871631864638,46,17.1,0.11521739130434783,0.043478260869565216,0.02608695652173913,0.006521739130434782,0.002173913043478261,0.11695906432748537,0.07017543859649122,0.017543859649122806,0.005847953216374269,0.396,0.325,0.75,15.0,-6.0,-0.8,1.3333333333333333,0.4,0,SG,Rookie
30,16.50745757738765,70,30.7,0.19142857142857142,0.1657142857142857,0.017142857142857144,0.011428571428571429,0.02,0.3778501628664495,0.03908794788273615,0.026058631921824105,0.04560260586319218,0.659,0.0,0.644,16.3,0.7,1.4,0.7058823529411765,2.2,0,C,Veteran
25,0.8780869480170171,37,9.5,0.1027027027027027,0.02972972972972973,0.016216216216216217,0.008108108108108109,0.002702702702702703,0.11578947368421054,0.06315789473684211,0.031578947368421054,0.010526315789473684,0.432,0.391,0.722,19.1,-4.4,-0.2,1.0,0.4,0,SG,Prime
22,15.500464570394637,71,29.9,0.1591549295774648,0.04507042253521127,0.029577464788732397,0.009859154929577464,0.005633802816901409,0.10702341137123747,0.07023411371237459,0.023411371237458192,0.013377926421404684,0.468,0.386,0.796,14.4,-0.1,1.0,2.1,1.1,0,SG,Rookie
36,101.26270233263241,46,18.1,0.10869565217391304,0.0391304347826087,0.05217391304347826,0.013043478260869565,0.002173913043478261,0.09944751381215469,0.13259668508287292,0.03314917127071823,0.0055248618784530384,0.47,0.358,0.764,11.3,-1.5,0.1,3.428571428571429,0.7,0,PG,Veteran
20,35.24871631864638,75,12.9,0.04,0.05466666666666666,0.012,0.008,0.005333333333333334,0.31782945736434104,0.06976744186046512,0.046511627906976744,0.031007751937984496,0.486,0.407,0.617,10.5,-1.4,0.2,1.5,1.0,0,C,Rookie
27,1.1298351997652707,53,13.9,0.1339622641509434,0.02830188679245283,0.024528301886792454,0.011320754716981131,0.0037735849056603774,0.1079136690647482,0.09352517985611511,0.043165467625899276,0.014388489208633094,0.461,0.356,0.917,22.1,-2.6,-0.1,1.4444444444444444,0.8,0,SG,Prime
22,15.500464570394637,80,29.8,0.1525,0.057499999999999996,0.015,0.01,0.00625,0.15436241610738252,0.040268456375838924,0.026845637583892617,0.016778523489932886,0.453,0.411,0.765,15.8,-0.6,0.8,1.4999999999999998,1.3,0,SF,Rookie
30,16.50745757738765,61,32.6,0.3409836065573771,0.06557377049180328,0.07213114754098361,0.00819672131147541,0.003278688524590164,0.12269938650306748,0.13496932515337423,0.015337423312883436,0.006134969325153374,0.444,0.338,0.816,27.8,-1.4,0.3,1.4666666666666668,0.7,0,SG,Veteran
19,48.122842192772254,37,18.1,0.13513513513513514,0.05945945945945946,0.07297297297297298,0.018918918918918916,0.002702702702702703,0.12154696132596685,0.14917127071823205,0.03867403314917126,0.0055248618784530384,0.321,0.385,0.591,18.5,-9.6,-1.3,1.5,0.7999999999999999,0,SG,Rookie
20,35.24871631864638,15,6.4,0.20666666666666667,0.11333333333333333,0.02,0.02,0.02666666666666667,0.265625,0.04687499999999999,0.04687499999999999,0.0625,0.5,0.333,1.0,18.9,-1.6,0.0,1.4999999999999998,0.7,0,SF,Rookie
28,4.255709325639398,61,32.1,0.1885245901639344,0.05081967213114754,0.10327868852459016,0.02459016393442623,0.006557377049180328,0.09657320872274143,0.19626168224299065,0.04672897196261682,0.012461059190031152,0.415,0.336,0.746,17.8,-1.0,0.5,2.739130434782609,1.9,0,PG,Prime
20,35.24871631864638,74,31.1,0.22027027027027027,0.0527027027027027,0.07027027027027027,0.010810810810810811,0.002702702702702703,0.12540192926045016,0.16720257234726688,0.02572347266881029,0.006430868167202572,0.416,0.343,0.747,25.4,-3.3,-0.7,1.625,1.0,0,SG,Rookie
31,25.633331703261778,4,11.0,1.075,0.325,0.45,0.075,0.075,0.11818181818181818,0.16363636363636364,0.02727272727272727,0.02727272727272727,0.429,0.333,0.571,20.6,-6.3,0.0,1.8,0.6,0,PG,Veteran
21,24.37459044452051,70,14.9,0.08,0.05714285714285714,0.017142857142857144,0.007142857142857143,0.007142857142857143,0.2684563758389262,0.08053691275167785,0.03355704697986577,0.03355704697986577,0.491,0.288,0.628,16.0,0.3,0.6,2.0,1.0,0,SF,Rookie
21,24.37459044452051,82,21.5,0.11341463414634147,0.07317073170731707,0.013414634146341465,0.014634146341463414,0.007317073170731707,0.27906976744186046,0.051162790697674425,0.05581395348837209,0.027906976744186046,0.448,0.343,0.752,19.3,-1.7,0.1,0.9166666666666667,1.7999999999999998,0,PF,Rookie
24,3.7522128221428903,62,17.8,0.1064516129032258,0.0532258064516129,0.043548387096774194,0.014516129032258065,0.0064516129032258064,0.18539325842696627,0.15168539325842698,0.05056179775280899,0.02247191011235955,0.448,0.322,0.768,17.3,0.7,0.8,3.0,1.3,0,PG,Prime
29,9.381583451513524,78,19.4,0.10512820512820512,0.030769230769230767,0.01282051282051282,0.005128205128205128,0.002564102564102564,0.12371134020618557,0.051546391752577324,0.02061855670103093,0.010309278350515465,0.442,0.401,0.867,17.0,-1.4,0.2,1.4285714285714286,0.6000000000000001,0,PF,Veteran
32,36.7592058291359,50,31.5,0.294,0.086,0.08199999999999999,0.016,0.004,0.1365079365079365,0.13015873015873014,0.025396825396825397,0.006349206349206349,0.475,0.325,0.811,20.0,-1.4,0.2,2.05,1.0,0,SF,Veteran
24,3.7522128221428903,72,18.8,0.10138888888888889,0.04861111111111111,0.020833333333333332,0.011111111111111112,0.006944444444444444,0.18617021276595744,0.07978723404255318,0.0425531914893617,0.026595744680851064,0.391,0.335,0.724,17.7,-0.2,0.6,1.6666666666666665,1.3,0,SG,Prime
27,1.1298351997652707,62,27.3,0.16612903225806452,0.054838709677419356,0.08548387096774193,0.01129032258064516,0.0032258064516129032,0.12454212454212453,0.19413919413919412,0.02564102564102564,0.007326007326007326,0.48,0.382,0.831,15.6,0.5,1.1,5.3,0.8999999999999999,0,PG,Prime
21,24.37459044452051,48,11.5,0.09791666666666667,0.08750000000000001,0.016666666666666666,0.0062499999999999995,0.014583333333333332,0.3652173913043478,0.06956521739130435,0.02608695652173913,0.0608695652173913,0.544,0.545,0.636,19.0,-2.3,0.0,0.888888888888889,1.0,0,C,Rookie
24,3.7522128221428903,82,19.8,0.06097560975609756,0.07926829268292683,0.014634146341463414,0.007317073170731707,0.00975609756097561,0.3282828282828283,0.0606060606060606,0.0303030303030303,0.04040404040404041,0.535,0.216,0.676,11.2,-0.3,0.7,1.4999999999999998,1.4,0,C,Prime
