Age,GP,MP,PTS_per_GP,TRB_per_GP,AST_per_GP,STL_per_GP,BLK_per_GP,FG%,3P%,FT%,PER,TS%,USG%,WS,VORP,BPM,Position_Clean
22,53,13.7,0.09811320754716982,0.04905660377358491,0.005660377358490566,0.005660377358490566,0.007547169811320755,0.561,0.262,0.645,12.5,0.62,15.2,1.6,-0.3,-3.7,PF
23,18,13.3,0.30000000000000004,0.1611111111111111,0.03888888888888889,0.03333333333333333,0.005555555555555556,0.561,0.35,0.773,16.5,0.647,15.1,0.8,0.2,0.8,PF
24,64,28.8,0.203125,0.046875,0.053125,0.0078125,0.0046875,0.529,0.398,0.864,14.9,0.687,16.2,5.4,1.2,0.7,SG
24,61,21.5,0.14754098360655737,0.03770491803278688,0.04918032786885246,0.018032786885245903,0.003278688524590164,0.411,0.336,0.813,11.8,0.525,19.8,1.8,0.3,-1.2,PG
25,7,8.0,0.41428571428571426,0.09999999999999999,0.1285714285714286,0.04285714285714286,0.0,0.4,0.5,0.625,11.1,0.54,16.2,0.1,0.0,-2.5,PG
21,45,19.3,0.2222222222222222,0.13111111111111112,0.015555555555555555,0.0044444444444444444,0.013333333333333332,0.558,0.2,0.701,15.6,0.589,21.2,1.4,-0.3,-3.5,C
20,75,12.9,0.04,0.05466666666666666,0.012,0.008,0.005333333333333334,0.486,0.407,0.617,12.9,0.569,10.5,1.8,0.2,-1.4,C
36,46,18.1,0.10869565217391304,0.0391304347826087,0.05217391304347826,0.013043478260869565,0.002173913043478261,0.47,0.358,0.764,10.6,0.61,11.3,1.9,0.1,-1.5,PG
21,5,6.8,0.44000000000000006,0.32,0.16,0.04,0.0,0.333,0.2,0.769,10.3,0.367,19.2,0.0,-0.1,-7.9,SF
33,31,11.5,0.12580645161290321,0.11290322580645161,0.054838709677419356,0.0032258064516129032,0.016129032258064516,0.385,0.28,0.769,9.9,0.493,17.9,0.0,-0.2,-3.9,C
27,72,26.5,0.1736111111111111,0.12638888888888888,0.037500000000000006,0.0125,0.016666666666666666,0.629,0.0,0.592,21.0,0.635,18.2,6.0,1.9,1.9,C
23,36,8.2,0.11944444444444444,0.10833333333333334,0.002777777777777778,0.002777777777777778,0.011111111111111112,0.635,0.3445,0.458,22.2,0.607,21.2,1.1,0.1,-0.6,C
24,62,19.2,0.1403225806451613,0.05967741935483871,0.02258064516129032,0.0064516129032258064,0.0032258064516129032,0.436,0.408,0.791,12.2,0.561,19.4,1.5,0.0,-2.1,SF
30,74,20.4,0.1108108108108108,0.04054054054054054,0.01756756756756757,0.005405405405405406,0.0013513513513513514,0.442,0.445,0.904,10.7,0.607,16.3,2.6,0.1,-1.7,SG
23,68,29.2,0.18970588235294117,0.052941176470588235,0.09705882352941175,0.01911764705882353,0.0014705882352941176,0.459,0.285,0.86,16.0,0.534,19.3,3.4,0.5,-1.0,PG
27,23,7.4,0.04782608695652174,0.09130434782608696,0.013043478260869565,0.004347826086956522,0.013043478260869565,0.458,0.25,1.0,5.9,0.502,9.2,0.2,-0.2,-6.3,C
24,78,20.6,0.11538461538461539,0.07179487179487179,0.014102564102564105,0.005128205128205128,0.016666666666666666,0.732,0.3445,0.679,19.7,0.739,15.2,6.1,1.2,1.0,C
19,6,6.7,0.25,0.16666666666666666,0.08333333333333333,0.11666666666666665,0.0,0.571,0.0,0.5,9.1,0.571,10.4,0.1,0.0,-2.9,SG
22,6,12.8,1.0333333333333334,0.11666666666666665,0.21666666666666667,0.13333333333333333,0.0,0.469,0.5,0.769,13.0,0.578,20.1,0.1,0.0,-2.6,PG
