Name,Aces_pct,Df_pct,FirstServe_In,FirstServe_Win,SecondServe_Win,BP_Saved_rate,TotalPoints_Won,ReturnPoints_Won,vAces_pct,v1stReturn_Win,v2ndReturn_Win,BP_Converted_rate,Aces_pct_Hard,Df_pct_Hard,FirstServe_Win_Hard,SecondServe_Win_Hard,ReturnPoints_Won_Hard,vAces_pct_Hard,v1stReturn_Win_Hard,v2ndReturn_Win_Hard,Aces_pct_Grass,Df_pct_Grass,FirstServe_Win_Grass,SecondServe_Win_Grass,ReturnPoints_Won_Grass,vAces_pct_Grass,v1stReturn_Win_Grass,v2ndReturn_Win_Grass,Aces_pct_Clay,Df_pct_Clay,FirstServe_Win_Clay,SecondServe_Win_Clay,ReturnPoints_Won_Clay,vAces_pct_Clay,v1stReturn_Win_Clay,v2ndReturn_Win_Clay,Aces_pct_Carpet,Df_pct_Carpet,FirstServe_Win_Carpet,SecondServe_Win_Carpet,ReturnPoints_Won_Carpet,vAces_pct_Carpet,v1stReturn_Win_Carpet,v2ndReturn_Win_Carpet,name,number_of_matches,playing_years,Serve_efficiency,Return_dominance,Serve_consistency,BP_efficiency,Hard_Clay_specialization,Cluster_KMeans,Cluster_GMM,GMM_max_prob,Cluster_DBSCAN,Cluster_Hier,Rk_avg,Dist_Centroid
Aslan Karatsev,6.272151898734177,5.314135021097046,59.46666666666667,71.42995780590718,50.30379746835443,0.5628610681043863,50.8661052631579,39.00926315789474,6.538947368421053,30.96884210526316,51.589473684210525,0.42669431957007314,7.33923611111111,5.519097222222222,72.38645833333334,50.05,38.27923875432526,7.1809688581314886,30.063321799307957,51.435294117647054,6.31764705882353,6.188235294117647,71.7764705882353,50.241176470588236,31.7,10.86470588235294,24.605882352941176,44.13529411764706,4.444578313253012,4.873493975903615,69.7566265060241,50.76927710843374,41.00903614457831,4.9716867469879515,33.27710843373494,52.577710843373495,4.7,5.066666666666666,70.23333333333333,49.26666666666667,40.1,6.8999999999999995,26.53333333333333,54.0,Aslan Karatsev,40,"[2015, 2020, 2021, 2022, 2023]",1.1584771850524103,5.875820516886001,29.913991561181437,0.6437160667623913,1.614943258807588,1,1,0.9999999999415604,0,1,290.4992503748126,3.7862459187737993
Ben Shelton,11.297222222222222,4.611111111111111,65.03777777777778,75.86833333333333,55.07722222222222,0.6236309886793633,51.410555555555554,34.352777777777774,6.609444444444445,27.38888888888889,46.208333333333336,0.4150370308703642,11.663636363636364,4.415384615384615,76.3055944055944,56.42097902097902,34.61748251748252,6.792307692307692,27.63986013986014,46.13426573426573,13.953846153846154,4.7615384615384615,76.97692307692309,50.76923076923077,32.276923076923076,8.092307692307692,24.53076923076923,46.892307692307696,7.675,5.695833333333333,72.66250000000001,49.40416666666667,33.9,4.716666666666667,27.441666666666666,46.27916666666667,9.45,,,,33.36666666666667,,,,Ben Shelton,33,"[2021, 2022, 2023, 2024]",2.397995283018868,5.1200629295354805,35.82100139506173,0.5735478957691027,1.5001461560947094,0,0,1.0,0,0,192.07853403141362,4.723298998785635
Benoit Paire,10.047945205479452,6.317579908675799,52.25045662100457,74.08812785388128,45.662100456621005,0.5465523646855206,49.52283105022831,38.52617142857143,4.655085714285714,31.854805491990845,49.50114285714286,0.41393689941966433,11.573434125269978,6.588768898488121,75.5816414686825,45.106263498920086,37.51123110151188,5.696112311015119,30.257359307359305,49.02872570194384,11.084210526315788,6.184210526315789,73.80526315789473,47.24561403508772,34.83157894736842,5.757894736842105,27.671929824561403,47.32807017543859,7.898033707865168,5.98623595505618,72.19101123595506,46.1314606741573,40.443098591549294,3.120281690140845,34.60535211267606,50.46619718309859,9.45,,,,33.36666666666667,,,,Benoit Paire,48,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",1.565690704044968,8.10209820462903,23.858655991326287,0.6402217701593295,1.4470349273333027,0,0,1.0,-1,0,140.34912959381043,7.090312520521745
Bernard Tomic,9.259599332220366,2.71118530884808,63.57378964941569,71.42787979966612,50.23338898163606,0.5751964988232736,49.18864774624374,34.00684474123539,11.848580968280467,25.536393989983303,47.35742904841402,0.3605144010927386,9.646534653465347,2.860643564356436,71.87945544554455,50.35173267326732,34.222524752475245,12.04059405940594,25.640594059405938,47.46014851485149,10.087356321839081,2.1287356321839077,73.42528735632185,53.191954022988504,33.282758620689656,14.136781609195403,24.047126436781607,49.301149425287356,6.695238095238095,2.6085714285714285,67.70380952380953,47.20666666666666,33.96666666666667,9.074285714285715,26.531428571428574,45.52571428571429,22.900000000000002,3.0666666666666664,83.03333333333333,54.43333333333334,27.366666666666664,16.73333333333333,19.866666666666667,41.266666666666666,Bernard Tomic,33,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2024]",3.2938416770592074,2.846099033141452,31.93526904495807,0.5339399740979698,1.4196021564314807,0,0,1.0,-1,0,202.40616621983915,6.526434494054655
Borna Coric,7.803151260504202,2.886764705882353,61.65840336134454,72.81218487394958,53.18046218487395,0.5597054990080771,50.55995807127882,36.17966457023061,8.485324947589099,27.45115303983229,49.55765199161426,0.39032907065234695,8.219063545150501,3.0244147157190633,73.05886287625418,53.111036789297664,36.217999999999996,9.649666666666667,27.13,50.230333333333334,9.007407407407406,2.403703703703704,72.71851851851852,51.35925925925926,30.61111111111111,9.807407407407409,21.31111111111111,45.3962962962963,6.716778523489933,2.7,72.3248322147651,53.58724832214765,37.21208053691275,5.85503355704698,29.335570469798657,48.991946308724835,12.8,2.6,74.2,62.5,21.2,15.4,8.8,44.4,Borna Coric,71,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2.612576492930998,4.214128736081266,32.79022388337688,0.5916716947778057,1.2057108085334496,0,0,0.9999999999961946,0,0,140.1119005328597,4.867742961773851
Botic Van De Zandschulp,7.526190476190477,5.409821428571429,62.455357142857146,71.72172619047619,48.007440476190474,0.5661249131011543,51.22291666666667,40.02648809523809,5.421428571428571,32.85327380952381,51.17619047619048,0.43419331154639096,8.814814814814815,5.1195767195767194,73.02275132275132,48.06719576719577,38.2941798941799,6.708994708994709,30.90634920634921,50.3063492063492,9.762500000000001,6.029166666666666,74.52499999999999,49.854166666666664,36.49583333333333,7.2,27.6375,49.73333333333333,5.109756097560975,5.734959349593495,69.17560975609756,47.55528455284553,43.37723577235772,3.0959349593495937,36.862601626016264,52.794308943089426,9.45,,,,33.36666666666667,,,,Botic Van De Zandschulp,91,"[2019, 2020, 2021, 2022, 2023, 2024]",1.365959055798628,7.2492992669254,29.98321840454932,0.6518196557534497,1.6919822444167016,1,1,0.999997022963304,0,1,294.65589353612165,3.465734184156314
Brandon Nakashima,9.419005847953217,2.341812865497076,63.86257309941521,74.59005847953216,55.23304093567252,0.5744899561554686,52.08771929824562,37.19269005847953,8.633333333333333,29.078070175438597,49.88070175438597,0.3847451403372456,10.082926829268294,2.3109756097560976,75.3349593495935,55.43252032520325,36.96178861788618,8.879674796747969,28.837804878048782,49.65731707317074,9.415,2.0375,76.27000000000001,57.725,36.03,11.165000000000001,27.2875,49.475,6.505357142857143,2.694642857142857,70.11785714285715,52.57678571428572,39.0375,5.742857142857143,31.412499999999998,51.151785714285715,9.45,,,,33.36666666666667,,,,Brandon Nakashima,34,"[2020, 2021, 2022, 2023, 2024]",3.8573823494192316,4.258704968528191,35.27324114257379,0.5704238244410011,1.526477162581845,0,0,1.0,0,0,161.78347578347578,3.892863327595462
Cameron Norrie,6.109919028340081,3.87085020242915,64.53805668016194,70.48481781376518,51.00465587044534,0.579692157279396,51.31963562753037,39.09595141700405,7.644331983805668,31.572469635627527,50.930566801619435,0.44266082415948294,6.454518072289157,4.054216867469879,70.99939759036144,51.331626506024094,39.76415662650603,7.822590361445783,32.00722891566265,51.440662650602405,6.19,4.09,70.286,50.412,34.104,11.168,26.584,47.156000000000006,5.052678571428571,3.2294642857142857,69.04821428571428,50.300000000000004,39.34375,5.542857142857143,32.510714285714286,51.103571428571435,9.45,,,,33.36666666666667,,,,Cameron Norrie,66,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",1.5386929037520392,5.048331024387695,32.91741371518956,0.6512666350768582,1.252652961525534,1,1,1.0,0,1,166.64144144144143,2.397167149110936
Carlos Alcaraz,4.613166144200627,2.9100313479623825,65.77805642633228,71.10940438871474,56.03636363636363,0.573864309601145,53.92382445141066,42.81630094043887,4.063009404388715,35.630407523510975,54.559561128526646,0.45432040153119085,5.841007194244604,2.7302158273381294,73.4294964028777,56.875539568345324,41.35107913669065,5.1388489208633095,33.52517985611511,54.451079136690645,7.151851851851852,3.559259259259259,75.55185185185185,54.525925925925925,39.75555555555556,6.166666666666667,32.262962962962966,52.074074074074076,3.0496732026143794,2.958823529411765,68.21764705882353,55.540522875817,44.6875816993464,2.7143790849673204,38.13725490196079,55.09673202614378,9.45,,,,33.36666666666667,,,,Carlos Alcaraz,174,"[2019, 2020, 2021, 2022, 2023, 2024]",1.532597375546761,10.284939759036146,36.85963089199201,0.6742016086296357,1.8544803916153232,1,1,1.0,-1,1,96.92173913043479,6.269603392564794
Casper Ruud,6.368390804597701,3.0454022988505747,64.82605363984673,72.02988505747126,54.41149425287356,0.5351530806483477,52.002681992337166,38.16455938697318,7.152681992337165,29.703065134099617,51.38026819923372,0.42674202687706964,7.663043478260869,2.9404347826086954,73.11782608695651,53.70130434782608,36.03,9.572608695652173,27.19608695652174,50.041304347826085,8.308333333333334,5.216666666666667,76.00833333333334,50.06666666666666,34.35,10.866666666666667,26.28333333333333,49.324999999999996,5.221785714285714,3.0385714285714283,70.96571428571428,55.18107142857143,40.08142857142857,5.005714285714285,31.90892857142857,52.568214285714284,9.45,,,,33.36666666666667,,,,Casper Ruud,169,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",2.0246665448565686,5.262130536992525,35.27282445060994,0.6718727183712351,1.439938375889567,1,1,1.0,0,1,133.1795302013423,2.9976356821145
